date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,Usage_W,Lagging_Current_Power_Factor2,Total_active_power,Total_reactive_power,Total_power_factor
1/1/2018 8:15,3.78,4.75,0,0,62.27,100,29700,Weekday,Monday,Light_Load,3780,6,3.78,4.75,162.27
1/1/2018 8:30,3.28,3.74,0,0,65.94,100,30600,Weekday,Monday,Light_Load,3280,6,3.28,3.74,165.94
1/1/2018 8:45,3.49,4.46,0.18,0,61.63,99.87,31500,Weekday,Monday,Light_Load,3490,6,3.49,4.64,161.5
1/1/2018 9:00,3.89,0,15.66,0,100,24.11,32400,Weekday,Monday,Light_Load,3890,1,3.89,15.66,124.11
1/1/2018 9:15,3.6,0,16.96,0,100,20.76,33300,Weekday,Monday,Light_Load,3600,1,3.6,16.96,120.76
1/1/2018 9:30,4.03,0,21.28,0,100,18.61,34200,Weekday,Monday,Light_Load,4030,1,4.03,21.28,118.61
1/1/2018 9:45,3.92,0,19.22,0,100,19.98,35100,Weekday,Monday,Light_Load,3920,1,3.92,19.22,119.98
1/1/2018 10:00,3.64,0,16.88,0,100,21.08,36000,Weekday,Monday,Light_Load,3640,1,3.64,16.88,121.08
1/1/2018 10:15,4.07,0,22.32,0,100,17.94,36900,Weekday,Monday,Light_Load,4070,1,4.07,22.32,117.94
1/1/2018 10:30,3.71,0,18,0,100,20.19,37800,Weekday,Monday,Light_Load,3710,1,3.71,18,120.19
1/1/2018 10:45,3.6,0,16.92,0,100,20.81,38700,Weekday,Monday,Light_Load,3600,1,3.6,16.92,120.81
1/1/2018 11:00,4.21,0,23.4,0,100,17.71,39600,Weekday,Monday,Light_Load,4210,1,4.21,23.4,117.71
1/1/2018 11:15,3.49,0,5.65,0,100,52.55,40500,Weekday,Monday,Light_Load,3490,1,3.49,5.65,152.55
1/1/2018 11:30,3.46,0,4.82,0,100,58.31,41400,Weekday,Monday,Light_Load,3460,1,3.46,4.82,158.31
1/1/2018 11:45,4,0,6.7,0,100,51.26,42300,Weekday,Monday,Light_Load,4000,1,4,6.7,151.26
1/1/2018 12:00,3.49,0,4.57,0,100,60.69,43200,Weekday,Monday,Light_Load,3490,1,3.49,4.57,160.69
1/1/2018 12:15,3.6,0,12.89,0,100,26.9,44100,Weekday,Monday,Light_Load,3600,1,3.6,12.89,126.9
1/1/2018 12:30,4.25,0,23.15,0,100,18.06,45000,Weekday,Monday,Light_Load,4250,1,4.25,23.15,118.06
1/1/2018 12:45,3.67,0,16.67,0,100,21.5,45900,Weekday,Monday,Light_Load,3670,1,3.67,16.67,121.5
1/1/2018 13:00,3.67,0,16.63,0,100,21.55,46800,Weekday,Monday,Light_Load,3670,1,3.67,16.63,121.55
1/1/2018 13:15,4.25,0,23.33,0,100,17.92,47700,Weekday,Monday,Light_Load,4250,1,4.25,23.33,117.92
1/1/2018 13:30,3.64,0,16.74,0,100,21.25,48600,Weekday,Monday,Light_Load,3640,1,3.64,16.74,121.25
1/1/2018 13:45,3.67,0,16.99,0,100,21.11,49500,Weekday,Monday,Light_Load,3670,1,3.67,16.99,121.11
1/1/2018 14:00,4.28,0,23.4,0,100,17.99,50400,Weekday,Monday,Light_Load,4280,1,4.28,23.4,117.99
1/1/2018 14:15,3.64,0,16.67,0,100,21.33,51300,Weekday,Monday,Light_Load,3640,1,3.64,16.67,121.33
1/1/2018 14:30,3.78,0,18.25,0,100,20.28,52200,Weekday,Monday,Light_Load,3780,1,3.78,18.25,120.28
1/1/2018 14:45,4.1,0,22.1,0,100,18.24,53100,Weekday,Monday,Light_Load,4100,1,4.1,22.1,118.24
1/1/2018 15:00,3.64,0,16.7,0,100,21.3,54000,Weekday,Monday,Light_Load,3640,1,3.64,16.7,121.3
1/1/2018 15:15,3.92,0,19.33,0,100,19.87,54900,Weekday,Monday,Light_Load,3920,1,3.92,19.33,119.87
1/1/2018 15:30,4.1,0,21.35,0,100,18.86,55800,Weekday,Monday,Light_Load,4100,1,4.1,21.35,118.86
1/1/2018 15:45,3.6,0,16.81,0,100,20.94,56700,Weekday,Monday,Light_Load,3600,1,3.6,16.81,120.94
1/1/2018 16:00,3.96,0,20.45,0,100,19.01,57600,Weekday,Monday,Light_Load,3960,1,3.96,20.45,119.01
1/1/2018 16:15,4,0,20.77,0,100,18.91,58500,Weekday,Monday,Light_Load,4000,1,4,20.77,118.91
1/1/2018 16:30,3.6,0,16.81,0,100,20.94,59400,Weekday,Monday,Light_Load,3600,1,3.6,16.81,120.94
1/1/2018 16:45,4.07,0,21.64,0,100,18.48,60300,Weekday,Monday,Light_Load,4070,1,4.07,21.64,118.48
1/1/2018 17:00,3.82,0,19.19,0,100,19.52,61200,Weekday,Monday,Light_Load,3820,1,3.82,19.19,119.52
1/1/2018 17:15,3.56,0,16.96,0,100,20.54,62100,Weekday,Monday,Light_Load,3560,1,3.56,16.96,120.54
1/1/2018 17:30,4.1,0,23.51,0,100,17.18,63000,Weekday,Monday,Light_Load,4100,1,4.1,23.51,117.18
1/1/2018 17:45,3.6,0,17.39,0,100,20.27,63900,Weekday,Monday,Light_Load,3600,1,3.6,17.39,120.27
1/1/2018 18:00,3.6,0,17.35,0,100,20.32,64800,Weekday,Monday,Light_Load,3600,1,3.6,17.35,120.32
1/1/2018 18:15,4,0,8.96,0,100,40.77,65700,Weekday,Monday,Light_Load,4000,1,4,8.96,140.77
1/1/2018 18:30,3.42,0,5.47,0,100,53.01,66600,Weekday,Monday,Light_Load,3420,1,3.42,5.47,153.01
1/1/2018 18:45,3.67,0,16.24,0,100,22.04,67500,Weekday,Monday,Light_Load,3670,1,3.67,16.24,122.04
1/1/2018 19:00,4.07,0,22.57,0,100,17.75,68400,Weekday,Monday,Light_Load,4070,1,4.07,22.57,117.75
1/1/2018 19:15,3.53,0,17.39,0,100,19.89,69300,Weekday,Monday,Light_Load,3530,1,3.53,17.39,119.89
1/1/2018 19:30,3.85,0,20.74,0,100,18.25,70200,Weekday,Monday,Light_Load,3850,1,3.85,20.74,118.25
1/1/2018 19:45,3.96,0,20.88,0,100,18.63,71100,Weekday,Monday,Light_Load,3960,1,3.96,20.88,118.63
1/1/2018 20:00,3.56,0,17.35,0,100,20.1,72000,Weekday,Monday,Light_Load,3560,1,3.56,17.35,120.1
1/1/2018 20:15,4.03,0,22.54,0,100,17.6,72900,Weekday,Monday,Light_Load,4030,1,4.03,22.54,117.6
1/1/2018 20:30,3.74,0,19.55,0,100,18.79,73800,Weekday,Monday,Light_Load,3740,1,3.74,19.55,118.79
1/1/2018 20:45,3.56,0,17.42,0,100,20.02,74700,Weekday,Monday,Light_Load,3560,1,3.56,17.42,120.02
1/1/2018 21:00,4.21,0,24.26,0,100,17.1,75600,Weekday,Monday,Light_Load,4210,1,4.21,24.26,117.1
1/1/2018 21:15,3.56,0,17.75,0,100,19.66,76500,Weekday,Monday,Light_Load,3560,1,3.56,17.75,119.66
1/1/2018 21:30,3.53,0,17.42,0,100,19.86,77400,Weekday,Monday,Light_Load,3530,1,3.53,17.42,119.86
1/1/2018 21:45,4.25,0,25.2,0,100,16.63,78300,Weekday,Monday,Light_Load,4250,1,4.25,25.2,116.63
1/1/2018 22:00,3.53,0,17.5,0,100,19.77,79200,Weekday,Monday,Light_Load,3530,1,3.53,17.5,119.77
1/1/2018 22:15,3.56,1.44,10.08,0,92.7,33.3,80100,Weekday,Monday,Light_Load,3560,9,3.56,11.52,126
1/1/2018 22:30,3.67,4.21,0,0,65.71,100,81000,Weekday,Monday,Light_Load,3670,6,3.67,4.21,165.71
1/1/2018 22:45,3.24,3.35,0,0,69.52,100,81900,Weekday,Monday,Light_Load,3240,7,3.24,3.35,169.52
1/1/2018 23:00,3.53,3.74,0,0,68.64,100,82800,Weekday,Monday,Light_Load,3530,6,3.53,3.74,168.64
1/1/2018 23:15,3.53,3.42,0,0,71.82,100,83700,Weekday,Monday,Light_Load,3530,7,3.53,3.42,171.82
1/1/2018 23:30,3.24,2.95,0,0,73.94,100,84600,Weekday,Monday,Light_Load,3240,7,3.24,2.95,173.94
1/1/2018 23:45,3.67,3.96,0,0,67.97,100,85500,Weekday,Monday,Light_Load,3670,6,3.67,3.96,167.97
1/1/2018 0:00,3.42,3.46,0,0,70.3,100,0,Weekday,Monday,Light_Load,3420,7,3.42,3.46,170.3
2/1/2018 0:15,3.2,3.1,0,0,71.82,100,900,Weekday,Tuesday,Light_Load,3200,7,3.2,3.1,171.82
2/1/2018 0:30,3.85,4.61,0,0,64.1,100,1800,Weekday,Tuesday,Light_Load,3850,6,3.85,4.61,164.1
2/1/2018 0:45,3.28,3.67,0,0,66.64,100,2700,Weekday,Tuesday,Light_Load,3280,6,3.28,3.67,166.64
2/1/2018 1:00,3.35,3.6,0,0,68.12,100,3600,Weekday,Tuesday,Light_Load,3350,6,3.35,3.6,168.12
2/1/2018 1:15,3.89,4.72,0,0,63.6,100,4500,Weekday,Tuesday,Light_Load,3890,6,3.89,4.72,163.6
2/1/2018 1:30,3.28,3.53,0,0,68.07,100,5400,Weekday,Tuesday,Light_Load,3280,6,3.28,3.53,168.07
2/1/2018 1:45,3.46,3.96,0,0,65.8,100,6300,Weekday,Tuesday,Light_Load,3460,6,3.46,3.96,165.8
2/1/2018 2:00,3.78,4.82,0,0,61.71,100,7200,Weekday,Tuesday,Light_Load,3780,6,3.78,4.82,161.71
2/1/2018 2:15,3.31,3.53,0,0,68.4,100,8100,Weekday,Tuesday,Light_Load,3310,6,3.31,3.53,168.4
2/1/2018 2:30,3.6,4.36,0,0,63.67,100,9000,Weekday,Tuesday,Light_Load,3600,6,3.6,4.36,163.67
2/1/2018 2:45,3.64,4.39,0,0,63.83,100,9900,Weekday,Tuesday,Light_Load,3640,6,3.64,4.39,163.83
2/1/2018 3:00,3.28,3.71,0,0,66.24,100,10800,Weekday,Tuesday,Light_Load,3280,6,3.28,3.71,166.24
2/1/2018 3:15,3.71,4.57,0,0,63.03,100,11700,Weekday,Tuesday,Light_Load,3710,6,3.71,4.57,163.03
2/1/2018 3:30,3.56,4.03,0,0,66.21,100,12600,Weekday,Tuesday,Light_Load,3560,6,3.56,4.03,166.21
2/1/2018 3:45,3.24,3.49,0,0,68.04,100,13500,Weekday,Tuesday,Light_Load,3240,6,3.24,3.49,168.04
2/1/2018 4:00,3.89,4.64,0,0,64.25,100,14400,Weekday,Tuesday,Light_Load,3890,6,3.89,4.64,164.25
2/1/2018 4:15,3.28,3.42,0,0,69.22,100,15300,Weekday,Tuesday,Light_Load,3280,6,3.28,3.42,169.22
2/1/2018 4:30,3.28,3.49,0,0,68.48,100,16200,Weekday,Tuesday,Light_Load,3280,6,3.28,3.49,168.48
2/1/2018 4:45,3.96,4.68,0,0,64.59,100,17100,Weekday,Tuesday,Light_Load,3960,6,3.96,4.68,164.59
2/1/2018 5:00,3.24,3.42,0,0,68.77,100,18000,Weekday,Tuesday,Light_Load,3240,6,3.24,3.42,168.77
2/1/2018 5:15,3.46,3.78,0,0,67.52,100,18900,Weekday,Tuesday,Light_Load,3460,6,3.46,3.78,167.52
2/1/2018 5:30,3.67,4.07,0,0,66.97,100,19800,Weekday,Tuesday,Light_Load,3670,6,3.67,4.07,166.97
2/1/2018 5:45,3.24,3.42,0,0,68.77,100,20700,Weekday,Tuesday,Light_Load,3240,6,3.24,3.42,168.77
2/1/2018 6:00,3.67,3.96,0,0,67.97,100,21600,Weekday,Tuesday,Light_Load,3670,6,3.67,3.96,167.97
2/1/2018 6:15,3.53,3.78,0,0,68.25,100,22500,Weekday,Tuesday,Light_Load,3530,6,3.53,3.78,168.25
2/1/2018 6:30,3.2,3.24,0,0,70.27,100,23400,Weekday,Tuesday,Light_Load,3200,7,3.2,3.24,170.27
2/1/2018 6:45,3.78,4.07,0,0,68.05,100,24300,Weekday,Tuesday,Light_Load,3780,6,3.78,4.07,168.05
2/1/2018 7:00,3.35,3.35,0,0,70.71,100,25200,Weekday,Tuesday,Light_Load,3350,7,3.35,3.35,170.71
2/1/2018 7:15,3.53,3.49,0,0,71.11,100,26100,Weekday,Tuesday,Light_Load,3530,7,3.53,3.49,171.11
2/1/2018 7:30,6.3,4.57,0,0,80.95,100,27000,Weekday,Tuesday,Light_Load,6300,8,6.3,4.57,180.95
2/1/2018 7:45,6.05,4.79,0,0,78.4,100,27900,Weekday,Tuesday,Light_Load,6050,7,6.05,4.79,178.4
2/1/2018 8:00,6.73,4.54,0,0,82.9,100,28800,Weekday,Tuesday,Light_Load,6730,8,6.73,4.54,182.9
2/1/2018 8:15,29.02,18.83,0.07,0,83.89,100,29700,Weekday,Tuesday,Light_Load,29020,8,29.02,18.9,183.89
2/1/2018 8:30,46.19,28.66,0,0,84.97,100,30600,Weekday,Tuesday,Light_Load,46190,8,46.19,28.66,184.97
2/1/2018 8:45,52.06,35.32,0,0,82.75,100,31500,Weekday,Tuesday,Light_Load,52060,8,52.06,35.32,182.75
2/1/2018 9:00,56.2,12.53,0.11,0,97.6,100,32400,Weekday,Tuesday,Light_Load,56200,9,56.2,12.64,197.6
2/1/2018 9:15,56.84,8.32,0,0,98.95,100,33300,Weekday,Tuesday,Medium_Load,56840,9,56.84,8.32,198.95
2/1/2018 9:30,51.26,4.54,0.94,0,99.61,99.98,34200,Weekday,Tuesday,Medium_Load,51260,1,51.26,5.48,199.59
2/1/2018 9:45,48.13,2.34,1.15,0,99.88,99.97,35100,Weekday,Tuesday,Medium_Load,48130,1,48.13,3.49,199.85
2/1/2018 10:00,52.81,7.06,0.54,0,99.12,99.99,36000,Weekday,Tuesday,Medium_Load,52810,9,52.81,7.6,199.11
2/1/2018 10:15,54.79,7.52,0.14,0,99.07,100,36900,Weekday,Tuesday,Maximum_Load,54790,9,54.79,7.66,199.07
2/1/2018 10:30,53.21,8.35,0.11,0,98.79,100,37800,Weekday,Tuesday,Maximum_Load,53210,9,53.21,8.46,198.79
2/1/2018 10:45,80.21,32.4,0,0,92.72,100,38700,Weekday,Tuesday,Maximum_Load,80210,9,80.21,32.4,192.72
2/1/2018 11:00,77.58,25.49,0,0,95,100,39600,Weekday,Tuesday,Maximum_Load,77580,9,77.58,25.49,195
2/1/2018 11:15,128.52,70.85,0,0,87.57,100,40500,Weekday,Tuesday,Maximum_Load,128520,8,128.52,70.85,187.57
2/1/2018 11:30,144.47,78.48,0,0,87.87,100,41400,Weekday,Tuesday,Maximum_Load,144470,8,144.47,78.48,187.87
2/1/2018 11:45,90.86,54.29,0,0,85.84,100,42300,Weekday,Tuesday,Maximum_Load,90860,8,90.86,54.29,185.84
2/1/2018 12:00,123.3,66.06,0,0,88.15,100,43200,Weekday,Tuesday,Maximum_Load,123300,8,123.3,66.06,188.15
2/1/2018 12:15,19.22,5.54,18.9,0,96.09,71.3,44100,Weekday,Tuesday,Medium_Load,19220,9,19.22,24.44,167.39
2/1/2018 12:30,8.46,0,25.92,0,100,31.03,45000,Weekday,Tuesday,Medium_Load,8460,1,8.46,25.92,131.03
2/1/2018 12:45,8.24,0,25.34,0,100,30.92,45900,Weekday,Tuesday,Medium_Load,8240,1,8.24,25.34,130.92
2/1/2018 13:00,8.03,0,25.49,0,100,30.05,46800,Weekday,Tuesday,Medium_Load,8030,1,8.03,25.49,130.05
2/1/2018 13:15,79.67,27.29,6.52,0,94.6,99.67,47700,Weekday,Tuesday,Medium_Load,79670,9,79.67,33.81,194.27
2/1/2018 13:30,97.85,46.8,0,0,90.21,100,48600,Weekday,Tuesday,Medium_Load,97850,9,97.85,46.8,190.21
2/1/2018 13:45,124.45,49.79,0,0,92.85,100,49500,Weekday,Tuesday,Medium_Load,124450,9,124.45,49.79,192.85
2/1/2018 14:00,108.61,43.34,0,0,92.88,100,50400,Weekday,Tuesday,Medium_Load,108610,9,108.61,43.34,192.88
2/1/2018 14:15,123.12,55.26,0,0,91.23,100,51300,Weekday,Tuesday,Medium_Load,123120,9,123.12,55.26,191.23
2/1/2018 14:30,129.1,53.5,0,0,92.38,100,52200,Weekday,Tuesday,Medium_Load,129100,9,129.1,53.5,192.38
2/1/2018 14:45,82.08,27.58,0,0,94.79,100,53100,Weekday,Tuesday,Medium_Load,82080,9,82.08,27.58,194.79
2/1/2018 15:00,143.89,60.91,0,0,92.09,100,54000,Weekday,Tuesday,Medium_Load,143890,9,143.89,60.91,192.09
2/1/2018 15:15,86.9,34.27,0,0,93.03,100,54900,Weekday,Tuesday,Medium_Load,86900,9,86.9,34.27,193.03
2/1/2018 15:30,141.44,62.57,0,0,91.45,100,55800,Weekday,Tuesday,Medium_Load,141440,9,141.44,62.57,191.45
2/1/2018 15:45,116.53,52.88,0,0,91.06,100,56700,Weekday,Tuesday,Medium_Load,116530,9,116.53,52.88,191.06
2/1/2018 16:00,129.31,61.16,0,0,90.4,100,57600,Weekday,Tuesday,Medium_Load,129310,9,129.31,61.16,190.4
2/1/2018 16:15,136.44,56.77,0,0,92.33,100,58500,Weekday,Tuesday,Medium_Load,136440,9,136.44,56.77,192.33
2/1/2018 16:30,85.72,34.85,0,0,92.64,100,59400,Weekday,Tuesday,Medium_Load,85720,9,85.72,34.85,192.64
2/1/2018 16:45,147.46,65.27,0,0,91.44,100,60300,Weekday,Tuesday,Medium_Load,147460,9,147.46,65.27,191.44
2/1/2018 17:00,86.94,30.78,0,0,94.27,100,61200,Weekday,Tuesday,Medium_Load,86940,9,86.94,30.78,194.27
2/1/2018 17:15,67.25,25.81,0,0,93.36,100,62100,Weekday,Tuesday,Maximum_Load,67250,9,67.25,25.81,193.36
2/1/2018 17:30,115.78,50.04,0,0,91.79,100,63000,Weekday,Tuesday,Maximum_Load,115780,9,115.78,50.04,191.79
2/1/2018 17:45,113.11,34.63,0,0,95.62,100,63900,Weekday,Tuesday,Maximum_Load,113110,9,113.11,34.63,195.62
2/1/2018 18:00,76.75,11.74,1.04,0,98.85,99.99,64800,Weekday,Tuesday,Maximum_Load,76750,9,76.75,12.78,198.84
2/1/2018 18:15,41.9,15.23,0.14,0,93.98,100,65700,Weekday,Tuesday,Maximum_Load,41900,9,41.9,15.37,193.98
2/1/2018 18:30,37.4,19.94,0,0,88.24,100,66600,Weekday,Tuesday,Maximum_Load,37400,8,37.4,19.94,188.24
2/1/2018 18:45,40.25,8.82,0.5,0,97.68,99.99,67500,Weekday,Tuesday,Maximum_Load,40250,9,40.25,9.32,197.67
2/1/2018 19:00,34.92,1.98,1.58,0,99.84,99.9,68400,Weekday,Tuesday,Maximum_Load,34920,1,34.92,3.56,199.74
2/1/2018 19:15,41.36,6.44,0.43,0,98.81,99.99,69300,Weekday,Tuesday,Maximum_Load,41360,9,41.36,6.87,198.8
2/1/2018 19:30,35.96,2.52,1.37,0,99.76,99.93,70200,Weekday,Tuesday,Maximum_Load,35960,1,35.96,3.89,199.69
2/1/2018 19:45,39.42,5.29,0.47,0,99.11,99.99,71100,Weekday,Tuesday,Maximum_Load,39420,9,39.42,5.76,199.1
2/1/2018 20:00,38.16,4.68,0.5,0,99.26,99.99,72000,Weekday,Tuesday,Maximum_Load,38160,9,38.16,5.18,199.25
2/1/2018 20:15,33.23,1.51,3.96,0,99.9,99.3,72900,Weekday,Tuesday,Medium_Load,33230,1,33.23,5.47,199.2
2/1/2018 20:30,25.88,0,12.13,0,100,90.55,73800,Weekday,Tuesday,Medium_Load,25880,1,25.88,12.13,190.55
2/1/2018 20:45,10.84,0,23.22,0,100,42.3,74700,Weekday,Tuesday,Medium_Load,10840,1,10.84,23.22,142.3
2/1/2018 21:00,9.29,0,23.51,0,100,36.75,75600,Weekday,Tuesday,Medium_Load,9290,1,9.29,23.51,136.75
2/1/2018 21:15,6.98,0,25.16,0,100,26.73,76500,Weekday,Tuesday,Medium_Load,6980,1,6.98,25.16,126.73
2/1/2018 21:30,5.11,0,26.5,0,100,18.93,77400,Weekday,Tuesday,Medium_Load,5110,1,5.11,26.5,118.93
2/1/2018 21:45,5.08,0,26.42,0,100,18.88,78300,Weekday,Tuesday,Medium_Load,5080,1,5.08,26.42,118.88
2/1/2018 22:00,5.04,0,26.46,0,100,18.71,79200,Weekday,Tuesday,Medium_Load,5040,1,5.04,26.46,118.71
2/1/2018 22:15,4.93,1.84,15.44,0,93.69,30.42,80100,Weekday,Tuesday,Maximum_Load,4930,9,4.93,17.28,124.11
2/1/2018 22:30,4.64,5.22,0,0,66.44,100,81000,Weekday,Tuesday,Maximum_Load,4640,6,4.64,5.22,166.44
2/1/2018 22:45,4.68,5.18,0,0,67.04,100,81900,Weekday,Tuesday,Maximum_Load,4680,6,4.68,5.18,167.04
2/1/2018 23:00,4.68,5.11,0,0,67.54,100,82800,Weekday,Tuesday,Maximum_Load,4680,6,4.68,5.11,167.54
2/1/2018 23:15,4.57,4.54,0,0,70.94,100,83700,Weekday,Tuesday,Light_Load,4570,7,4.57,4.54,170.94
2/1/2018 23:30,4.57,4.25,0,0,73.23,100,84600,Weekday,Tuesday,Light_Load,4570,7,4.57,4.25,173.23
2/1/2018 23:45,4.54,4.25,0,0,73,100,85500,Weekday,Tuesday,Light_Load,4540,7,4.54,4.25,173
2/1/2018 0:00,4.61,4.21,0,0,73.84,100,0,Weekday,Tuesday,Light_Load,4610,7,4.61,4.21,173.84
3/1/2018 0:15,4.61,4.61,0,0,70.71,100,900,Weekday,Wednesday,Light_Load,4610,7,4.61,4.61,170.71
3/1/2018 0:30,4.61,4.54,0,0,71.25,100,1800,Weekday,Wednesday,Light_Load,4610,7,4.61,4.54,171.25
3/1/2018 0:45,4.57,4.5,0,0,71.25,100,2700,Weekday,Wednesday,Light_Load,4570,7,4.57,4.5,171.25
3/1/2018 1:00,4.57,4.61,0,0,70.4,100,3600,Weekday,Wednesday,Light_Load,4570,7,4.57,4.61,170.4
3/1/2018 1:15,4.64,4.46,0,0,72.1,100,4500,Weekday,Wednesday,Light_Load,4640,7,4.64,4.46,172.1
3/1/2018 1:30,4.64,4.57,0,0,71.25,100,5400,Weekday,Wednesday,Light_Load,4640,7,4.64,4.57,171.25
3/1/2018 1:45,4.61,4.79,0,0,69.34,100,6300,Weekday,Wednesday,Light_Load,4610,6,4.61,4.79,169.34
3/1/2018 2:00,4.57,4.5,0,0,71.25,100,7200,Weekday,Wednesday,Light_Load,4570,7,4.57,4.5,171.25
3/1/2018 2:15,4.61,4.39,0,0,72.42,100,8100,Weekday,Wednesday,Light_Load,4610,7,4.61,4.39,172.42
3/1/2018 2:30,4.64,4.75,0,0,69.88,100,9000,Weekday,Wednesday,Light_Load,4640,7,4.64,4.75,169.88
3/1/2018 2:45,4.64,4.75,0,0,69.88,100,9900,Weekday,Wednesday,Light_Load,4640,7,4.64,4.75,169.88
3/1/2018 3:00,4.57,4.75,0,0,69.33,100,10800,Weekday,Wednesday,Light_Load,4570,6,4.57,4.75,169.33
3/1/2018 3:15,4.64,5.11,0,0,67.22,100,11700,Weekday,Wednesday,Light_Load,4640,6,4.64,5.11,167.22
3/1/2018 3:30,4.64,4.72,0,0,70.1,100,12600,Weekday,Wednesday,Light_Load,4640,7,4.64,4.72,170.1
3/1/2018 3:45,4.68,4.68,0,0,70.71,100,13500,Weekday,Wednesday,Light_Load,4680,7,4.68,4.68,170.71
3/1/2018 4:00,4.57,4.46,0,0,71.57,100,14400,Weekday,Wednesday,Light_Load,4570,7,4.57,4.46,171.57
